Species,Code,Environment,Coleoptera,Blattodea,Araneae,Diplopoda,Ensifera,Formicidae,Collembola,Psocodea,Heteroptera,Dermaptera,Acari,Opiliones,Mosca,Isoptera,Thysanoptera,Lepidoptera larva,Vespa,Chilopoda,Isopoda,Coleoptera larva,Lesma,Diptera larva,Mosquito
Boana latistriata,MRCM1624,mata,12.566,226.195,50.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boana latistriata,MRCM3710,mata,0,0,16.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boana latistriata,MRCM3712,mata,0,0,0,0,0,20.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boana latistriata,MRCM3713,mata,0,0,0,0,0,0,10.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boana latistriata,MRCM3714,mata,0,0,0,0,0,0,0,3.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boana latistriata,MRCM3716,mata,0,0,0,0,376.991,0,0,0,150.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boana prasina,MRCM3689,mata,83.776,670.206,0,0,0,16.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boana prasina,MRCM3691,mata,134.041,0,0,0,0,0,0,0,0,984.366,0,0,0,0,0,0,0,0,0,0,0,0,0
Boana prasina,MRCM3692,mata,0,0,0,0,0,284.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bokermannohyla luctuosa,MRCM1593,mata,0,0,0,0,0,0,0,0,0,0,4.189,0,0,0,0,0,0,0,0,0,0,0,0
Bokermannohyla luctuosa,MRCM1604,mata,0,0,0,0,804.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bokermannohyla luctuosa,MRCM1828,mata,0,0,2375.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bokermannohyla luctuosa,MRCM1849,mata,737.227,16.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bokermannohyla luctuosa,MRCM2054,mata,0,0,0,0,0,0,0,0,0,0,0,628.319,0,0,0,0,0,0,0,0,0,0,0
Bokermannohyla luctuosa,MRCM2115,mata,0,0,0,0,0,0,0,0,2722.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bokermannohyla luctuosa,MRCM2145,mata,0,0,0,0,0,0,0,0,2668.259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bokermannohyla luctuosa,MRCM3677,mata,2.094,0,0,0,0,0,1.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bokermannohyla luctuosa,MRCM3686,mata,0,0,100.531,0,0,0,0,0,0,0,0,226.195,0,0,0,0,0,0,0,0,0,0,0
Bokermannohyla luctuosa,MRCM3695,mata,0,0,0,0,2617.994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiasmocleis mantiqueira,MRCM1501,eucalipto,0,0,0,0,0,58.643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiasmocleis mantiqueira,MRCM1513,mata,12.566,0,0,0,0,16.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiasmocleis mantiqueira,MRCM1587,eucalipto,0,0,0,0,0,9.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiasmocleis mantiqueira,MRCM1644,eucalipto,0,0,0,0,0,20.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiasmocleis mantiqueira,MRCM1648,eucalipto,0,0,0,0,0,3.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiasmocleis mantiqueira,MRCM2015,eucalipto,0,0,0,0,0,3.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiasmocleis mantiqueira,MRCM2018,eucalipto,0,0,0,0,0,12.566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiasmocleis mantiqueira,MRCM2019,eucalipto,8.378,0,0,0,0,16.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiasmocleis mantiqueira,MRCM2067,eucalipto,0,0,0,0,0,272.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiasmocleis mantiqueira,MRCM2130,eucalipto,8.378,0,0,0,0,283.791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiasmocleis mantiqueira,MRCM2133,mata,0,0,0,0,0,33.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiasmocleis mantiqueira,MRCM2134,eucalipto,20.944,0,0,0,0,62.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiasmocleis mantiqueira,MRCM2147,eucalipto,0,0,0,0,0,12.566,0,0,0,0,0.524,0,0,0,0,0,0,0,0,0,0,0,0
Chiasmocleis mantiqueira,MRCM3676,eucalipto,8.378,0,0,0,0,12.566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiasmocleis mantiqueira,MRCM3688,mata,0,0,0,0,0,100.531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendropsophus microps,MRCM1506,mata,33.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendropsophus microps,MRCM1585,mata,0,0,12.566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendropsophus microps,MRCM1621,mata,0,0,0,0,0,0,0,0,0,0,0,0,301.593,0,0,0,0,0,0,0,0,0,0
Dendropsophus microps,MRCM2137,mata,8.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendropsophus microps,MRCM2141,mata,75.399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendropsophus microps,MRCM2144,mata,12.566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendropsophus microps,MRCM2171,mata,0,0,0,0,0,0,0,0,0,0,0,0,0,326.726,0,0,0,0,0,0,0,0,0
Dendropsophus microps,MRCM3687,mata,0,0,67.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendropsophus minutus,MRCM1622,mata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.047,0,0,0,0,0,0,0,0
Dendropsophus minutus,MRCM3702,mata,0,0,33.51,0,0,0,0,0,12.566,0,0,0,0,0,0,318.348,0,0,0,0,0,0,0
Hylodes aff. sazimai,MRCM1650,mata,100.531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hylodes aff. sazimai,MRCM1652,mata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.531,0,0,0,0,0,0
Hylodes aff. sazimai,MRCM2143,eucalipto,12.566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hylodes aff. sazimai,MRCM2174,mata,0,0,0,0,0,0,50.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hylodes aff. sazimai,MRCM2243,mata,0,0,12.566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hylodes aff. sazimai,MRCM3703,mata,0,0,8.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hylodes aff. sazimai,MRCM3704,mata,100.531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005.31,0,0,0,0,0,0,0
Ischnocnema guentheri,MRCM1519,eucalipto,25.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischnocnema guentheri,MRCM1520,eucalipto,234.572,0,0,0,0,0,0,0,0,201.062,0,268.083,0,0,0,0,0,0,0,0,0,0,0
Ischnocnema guentheri,MRCM1556,eucalipto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.965,0,0,0,0,0
Ischnocnema guentheri,MRCM1560,eucalipto,0,201.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischnocnema guentheri,MRCM1589,eucalipto,670.206,0,0,0,0,0,0,0,0,0,0,469.14500000000004,0,0,0,0,0,418.879,0,0,0,0,0
Ischnocnema guentheri,MRCM1617,mata,0,0,16.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischnocnema guentheri,MRCM1626,mata,0,0,83.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischnocnema guentheri,MRCM2022,eucalipto,134.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischnocnema guentheri,MRCM2191,mata,871.268,0,4.189,0,0,83.776,0,0,0,376.991,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischnocnema guentheri,MRCM3694,mata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347.67,0,0,0,0
Ischnocnema guentheri,MRCM3705,mata,0,0,0,0,0,0,0,0,16.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischnocnema holti,MRCM2228,mata,8.378,33.51,0,0,0,0,0,0,8.378,0,0,0,0,0,0,0,12.566,0,0,5.236,0,0,0
Ischnocnema holti,MRCM2254,mata,263.894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischnocnema juipoca,MRCM1470,eucalipto,0,0,67.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischnocnema juipoca,MRCM1521,eucalipto,33.51,0,226.195,0,0,0,1.047,0,0,0,0,0,0,0,0,217.817,0,0,0,0,0,0,0
Ischnocnema juipoca,MRCM1558,eucalipto,67.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.378,0,0,0,0,0,0
Ischnocnema juipoca,MRCM1559,eucalipto,0,0,8.378,0,0,0,0,0,0,0,0,0,0,0,0,25.133,0,0,0,0,0,0,0
Ischnocnema juipoca,MRCM1568,eucalipto,0,0,12.566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischnocnema juipoca,MRCM1639,eucalipto,0,0,83.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischnocnema juipoca,MRCM2034,eucalipto,8.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischnocnema juipoca,MRCM2038,eucalipto,29.320999999999998,0,0,0,0,4.188,0,0,0,0,0,0,0,0,0,0,0,41.888,0,0,0,0,0
Ischnocnema juipoca,MRCM2126,mata,83.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischnocnema juipoca,MRCM3684,eucalipto,0,603.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischnocnema juipoca,MRCM3698,eucalipto,0,0,8.378,0,0,25.132,0,0,0,0,0,0,0,0,0,25.133,0,0,0,0,0,0,0
Ischnocnema juipoca,MRCM3699,eucalipto,50.265,12.566,0,0,0,39.269999999999996,0,0,0,0,0,0,0,0,0,0,0,4.189,0,0,29.322,0,0
Ischnocnema juipoca,MRCM3706,eucalipto,0,469.145,16.755,0,0,4.189,0,0,0,0,0,0,0,0,0,0,0,0,188.496,0,0,20.944,0
Ololygon obtriangulata,MRCM1529,mata,8.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ololygon obtriangulata,MRCM1611,mata,0,0,263.894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ololygon obtriangulata,MRCM1615,mata,0,0,16.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ololygon obtriangulata,MRCM1839,mata,0,0,67.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ololygon obtriangulata,MRCM1884,mata,0,0,50.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ololygon obtriangulata,MRCM2146,eucalipto,0,0,67.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ololygon obtriangulata,MRCM3678,mata,0,0,8.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ololygon obtriangulata,MRCM3697,mata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.894,0,0,0,0
Ololygon obtriangulata,MRCM3707,eucalipto,0,0,276.46,0,0,0,0,0,0,0,0,0,0,0,0,0,20.944,0,0,0,0,0,0
Physalaemus cuvieri,MRCM1495,mata,0,0,0,0,0,16.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Physalaemus cuvieri,MRCM3675,eucalipto,276.46,0,4.189,0,0,87.965,0,0,0,0,0,0,0,0,0,0,0,0,83.776,0,0,0,3.142
Physalaemus olfersii,MRCM1479,mata,0,0,0,0,0,92.15299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Physalaemus olfersii,MRCM1547,mata,0,0,8.378,0,0,16.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Physalaemus olfersii,MRCM1548,mata,25.133,0,0,0,0,69.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Physalaemus olfersii,MRCM1588,eucalipto,0,0,0,0,0,89.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Physalaemus olfersii,MRCM1608,mata,268.083,0,8.378,0,0,37.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Physalaemus olfersii,MRCM1638,mata,0,0,0,0,0,9.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Physalaemus olfersii,MRCM2105,eucalipto,0,0,0,0,0,49.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Physalaemus olfersii,MRCM2214,mata,190.59,0,0,0,0,33.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Physalaemus olfersii,MRCM2252,eucalipto,8.378,0,0,0,0,46.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Physalaemus olfersii,MRCM3674,eucalipto,0,0,0,0,0,79.586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proceratophrys boiei,MRCM1508,mata,8670.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proceratophrys boiei,MRCM1516,mata,7506.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proceratophrys boiei,MRCM1594,mata,603.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proceratophrys boiei,MRCM1596,mata,0,0,0,41.888,0,0,0,0,0,0,8.378,0,0,0,0,0,0,33.51,0,0,0,0,0
Proceratophrys boiei,MRCM2017,eucalipto,2412.743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proceratophrys boiei,MRCM2036,mata,4021.239,0,0,0,4105.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proceratophrys boiei,MRCM2053,mata,1072.3310000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.796,0,0,0,0
Proceratophrys boiei,MRCM2121,mata,8444.600999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proceratophrys boiei,MRCM3672,eucalipto,0,0,263.894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proceratophrys boiei,MRCM3680,mata,536.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proceratophrys boiei,MRCM3681,mata,0,117.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.944,0,0,0
Proceratophrys boiei,MRCM3696,mata,150.796,50265.482,0,0,1570.796,0,0,0,1072.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proceratophrys itamari,MRCM1817,mata,50.265,0,100.531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proceratophrys itamari,MRCM1855,mata,67.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.531,0,0,0,0
Proceratophrys itamari,MRCM2248,mata,0,0,0,0,0,0,0,0,83.776,0,0,0,0,0,0,0,0,0,188.496,0,0,0,0
Rhinella icterica,MRCM1509,mata,69563.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhinella icterica,MRCM1551,mata,201732.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhinella icterica,MRCM1562,mata,0,0,0,4155.28,0,0,0,0,0,1977.109,0,50.265,0,0,0,0,0,0,0,716.283,0,0,0
Rhinella icterica,MRCM1607,mata,6392.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhinella icterica,MRCM1636,eucalipto,21111.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhinella icterica,MRCM2024,mata,12675.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhinella icterica,MRCM2064,mata,17245.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhinella icterica,MRCM2074,eucalipto,11984.128999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhinella icterica,MRCM2122,mata,108284.415,0,0,0,0,854.513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhinella icterica,MRCM2226,mata,34021.354,0,0,12063.716,0,1897.522,0,0,0,0,0,1533.098,0,0,0,2010.619,0,0,0,753.982,0,0,0
Rhinella icterica,MRCM2227,mata,88366.71699999999,0,0,9424.778,0,146.608,0,0,0,0,0,7539.822,0,0,0,0,0,0,0,0,0,0,0
Rhinella icterica,MRCM2246,mata,31851.561,0,0,0,0,1218.9379999999999,0,0,2714.336,0,0,6082.123,0,0,0,0,0,0,113.097,0,0,0,0
Rhinella icterica,MRCM3700,mata,1105.8410000000001,0,0,0,0,728.8489999999999,8.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhinella icterica,MRCM3708,mata,100.531,0,0,0,0,458.673,0,0,0,0,0,0,0,0,0,0,0,0,0,6.283,0,0,0
Rhinella icterica,MRCM3721,mata,0,0,0,0,0,472.287,0,0,0,0,0,0,0,0,0,41.888,0,0,0,0,0,0,0
Rhinella ornata,MRCM1826,mata,787.4929999999999,0,0,0,0,1801.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhinella ornata,MRCM2079,mata,2948.9089999999997,0,0,1319.469,0,615.751,0,0,0,0,0,150.796,0,0,0,0,0,0,0,0,0,0,0
Scinax aff. dolloi,MRCM1507,mata,12.566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scinax aff. dolloi,MRCM1637,mata,0,0,83.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scinax aff. dolloi,MRCM1833,mata,0,0,51.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scinax aff. dolloi,MRCM2048,mata,184.30700000000002,0,83.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scinax aff. dolloi,MRCM3693,mata,0,0,603.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
